"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Overall_Avg"
"66","6-Sep",85.1157586661097,80.8229006304514,90.0698091988295,94.4061226145616,80.9431826599259,90.3741813306376,93,83.4560912465673,83.1768904143631,81.0225537754614,83.8140413841682,89.6412558605857,86.8422678163146,82.7009042770568,84.669198687056,77.8176150580942,84.9826261968838,89.329025919585,89.1450691962948,87.986733894276,85.9788779898213
"67","7-Sep",87.2413574957584,81.7178285494531,89.3686929547201,95.6708504843389,65.4596602139586,88.2719262133492,91,71.0072168418739,81.1980307753456,80.6246511900559,84.7844016196571,85.4111747348279,87.059984498148,84.6507315182296,88.8245959642185,74.7324796190094,84.9855149355054,88.5243158934413,91.2361042802784,85.5692206713411,84.7108885021666
"68","8-Sep",88.0466602517579,85.6807160793149,89.9526932209589,92.5057269485529,65.4771442012019,87.2171448188324,88,73.5604868148381,84.7410073063645,82.4629560077531,80.8697683260932,85.4623950633729,88.4851799889236,84.3217562755232,90.5981554026018,68.5592703056907,93.1518119046156,88.3015076831886,90.1754395607412,85.1222547680915,84.5873208161976
"69","9-Sep",88.355275890867,87.9636343411235,89.3227504588259,91.4548473747544,74.7852789963936,86.1647228388427,87,80.5913615445225,75.1883473011026,84.5330564038508,82.6127398608026,87.5194585530996,89.6864331886499,86.7152349394003,92.6880452646182,72.6934488448406,88.2952212134197,90.6163707688946,83.8723653663161,84.1848484096692,84.9882277750793
"70","10-Sep",89.7640583254195,84.2813990988937,81.28952154362,81.0937241339681,79.9540137774696,86.157628286717,91,81.7865530511266,81.8014811357369,85.6913348779115,82.9295990115779,88.9945226387718,88.7771726698974,84.8238389809539,92.2853445603097,80.9444348259963,82.4147858863506,90.4143128992398,83.87862933561,86.5753591969059,84.9067329987551
"71","11-Sep",85.7938472951304,80.0868118827411,78.2897990133483,84.8330131274039,82.0202165593834,89.2800481917042,95,78.4004273663089,83.3036381706369,83.9532847975358,84.6236166306267,89.2924948074613,87.7520164146579,80.9654770911,93.8879382807608,84.0367600291832,83.6783591065002,89.5517267307265,85.9827405812732,85.304497083707,85.0634494119919
"72","12-Sep",85.5950615034219,81.670546698533,79.8455309461933,86.0869607975414,84.0842771918121,87.1818473541114,95,79.6220761443036,83.6483952373357,83.7790010997364,84.1133688256261,89.3006859069126,84.6623470253331,75.7820708883337,95.9261429262814,86.0960801611026,82.5655684793045,89.3133384772133,90.1798970185036,85.923594665389,85.351663804865
"73","13-Sep",86.8138171792441,85.6931430283944,82.6639423837721,86.5134349116524,86.1462649891301,84.0448063580469,90,80.8130116056588,81.3404569719692,85.6346739788526,82.3841945998702,86.321780430829,86.2014327016017,79.451413392957,90.393994571715,87.1233924840407,80.3052617346812,90.0349453246945,92.2692228453475,79.2020240235514,85.2042897871625
"74","14-Sep",80.8422999369498,87.0119049140432,87.3925273001034,85.9488596995979,87.1738896290785,84.0428765646742,75,84.2546246141654,79.230220914259,87.7006797183856,72.2513536829531,84.6892237099268,86.1033959060994,79.6360197417983,86.6226907839822,89.1800949794374,80.4207757211985,87.8296279624549,85.9615460160568,75.4086572917915,83.3330116320972
"75","15-Sep",79.2492032740216,87.1209335799552,87.137774313015,86.4869147920336,86.1359056200716,86.1271691516997,78,81.9422069220638,78.7593704467029,87.9199426178535,78.5913542230702,80.5124887645126,87.4142060315909,81.3753294899234,90.0649273477888,92.2652996107135,82.8496228042507,83.2730666661005,77.5708144541232,76.4311142938893,83.4241044059134
"76","16-Sep",83.1635516471046,88.0922348683641,87.0644584964505,88.1043189936628,79.9373637055972,76.7340653309957,91,81.9502151642851,73.8785370952108,90.7435243641657,81.3803337664079,80.7336208923576,81.8306300831097,79.3502925268735,90.8270612014853,86.0759909144018,87.5397051552087,83.6735408054843,79.6900324377476,79.1932313274254,83.4911351192397
"77","17-Sep",82.0674349604463,88.1682286631684,87.8274610189202,82.9232824788972,74.7776034838365,76.7455190394464,88,80.8185462262451,74.376939148439,88.239321443841,82.7055568280403,75.1478424520465,80.4156451745372,81.3267228657307,89.2921087193725,71.6506788535479,86.2836987000902,87.7594283926413,85.9997089096761,78.8546323245947,82.2944032366255
"78","18-Sep",81.6624523304966,90.1028211644404,87.2503816435413,81.2204300572917,72.720084867888,80.9287579706975,86,80.8436898217082,78.4825751430526,86.1119842702801,84.5828874422264,76.1256162268281,72.4750581161475,74.3656625759589,94.064625402493,78.8727417222783,82.7377188018976,80.8849934769312,85.9997231956172,82.216075310466,81.7253679438311
"79","19-Sep",78.943093206211,88.3213992100689,83.1608360268599,81.3892043386873,72.7291421920486,80.9318263387148,81,80.8653493320529,78.621067364698,87.7586768171637,84.9241720658072,77.6302370309874,78.2912741937641,78.3879193986453,93.3990119358527,76.8161560334843,78.1162490760435,78.2991788068702,84.9506594327579,82.8373221446548,81.4933116098902
